codigo_renacyt,Investigador,Genero,URL CTI Vitae,grupo,nivel,fecha_de_inicio_de_vigencia,fecha_fin_de_vigencia,Rango de Edad,reglamento
P0023897,"MANRIQUE CHAVEZ, ZORAIDA ROCIO",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23897,,VII,2022-12-29,,Entre 40 a 49 años,Reglamento 2021
P0023896,"ECOS ESPINO, ALEJANDRO MANUEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23896,,VII,2022-11-29,,Entre 40 a 49 años,Reglamento 2021
P0023879,"FERNANDEZ DEL CARPIO, ALVARO RODOLFO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23879,,V,2022-05-18,,Entre 50 a 59 años,Reglamento 2021
P0023868,"VASQUEZ CORDANO, ARTURO LEONARDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23868,,IV,2022-02-08,,Entre 40 a 49 años,Reglamento 2021
P0023839,"RAMOS ESPINOZA, FERNANDO CARLOS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23839,,V,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0023816,"SAEZ FLORES, GLORIA MARIA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23816,,IV,2022-06-17,,Entre 60 a 69 años,Reglamento 2021
P0023797,"ENCISO ROCA, EDWIN CARLOS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23797,,IV,2022-02-10,,Entre 40 a 49 años,Reglamento 2021
P0023796,"MATEUS BOREA, JULIO CESAR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23796,,V,2022-02-08,,Entre 40 a 49 años,Reglamento 2021
P0023747,"ZAFRA TANAKA, JESSICA HANAE",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23747,,II,2022-10-18,,Entre 30 a 39 años,Reglamento 2021
P0023735,"TURPO CAYO, EFRAIN YURY",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23735,,VI,2022-05-17,,Entre 30 a 39 años,Reglamento 2021
P0023732,"GOMEZ TONE, HUGO CESAR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23732,,VI,2022-05-17,,Entre 50 a 59 años,Reglamento 2021
P0023724,"SUPO COLQUEHUANCA, ELVIS DIEGO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23724,,VII,2022-09-19,,Entre 30 a 39 años,Reglamento 2021
P0023682,"KANAGUSUKU GONDO, KENY",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23682,,VII,2022-06-21,,Entre 40 a 49 años,Reglamento 2021
P0023673,"BURGA CISTERNA, CESAR ABEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23673,,VI,2022-12-22,,Entre 30 a 39 años,Reglamento 2021
P0023668,"CAHUANA HURTADO, LUCERO",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23668,,Investigador Distinguido,2022-09-27,,Entre 40 a 49 años,Reglamento 2021
P0023654,"SOTOMAYOR ALZAMORA, GUINA GUADALUPE",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23654,,VI,2022-02-08,,Entre 40 a 49 años,Reglamento 2021
P0023530,"CRUCES CHANCAHUAÑA, CELSO LUIS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23530,,IV,2022-05-24,,Entre 20 a 29 años,Reglamento 2021
P0023529,"CHERO DE LA CRUZ, JHON DARLY",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23529,,III,2022-02-08,,Entre 30 a 39 años,Reglamento 2021
P0023519,"BENITES VILCHEZ, JULIO WILFREDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23519,,Investigador Distinguido,2022-05-24,,Entre 50 a 59 años,Reglamento 2021
P0023511,"BELTRAN CASTAÑON, NORMAN JESUS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23511,,VI,2022-09-27,,Entre 50 a 59 años,Reglamento 2021
P0023499,"CHAÑI PAUCAR, LARRY OSCAR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23499,,V,2022-09-01,,Entre 30 a 39 años,Reglamento 2021
P0023490,"CABELLO VILCHEZ, ALFONSO MARTIN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23490,,IV,2022-12-06,,Entre 40 a 49 años,Reglamento 2021
P0023470,"PUERTA TUESTA, RONALD HUGO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23470,,VII,2022-05-17,,Entre 40 a 49 años,Reglamento 2021
P0023466,"GONZALES HUAMAN, TERESA JESUS",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23466,,VI,2022-10-18,,Entre 60 a 69 años,Reglamento 2021
P0023441,"MEDINA CABRERA, EDILBERTO VICENTE",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23441,,VI,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0023421,"ROJAS VILLACORTA, WALTER ANDRES",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23421,,VII,2022-11-25,,Entre 30 a 39 años,Reglamento 2021
P0023416,"OLAGUIVEL FLORES, CESAR AUGUSTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23416,,VII,2022-05-17,,Entre 40 a 49 años,Reglamento 2021
P0023403,"ORTIZ SAAVEDRA, PEDRO JOSE",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23403,,III,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0023382,"PALACIOS FLORES, MIGUEL ANGEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23382,,VII,2022-08-22,,Entre 30 a 39 años,Reglamento 2021
P0023379,"PRETELL VASQUEZ, CARLA CONSUELO",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23379,,VI,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0023344,"MEZA HIDALGO, MARIO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23344,,III,2022-11-25,,Entre 30 a 39 años,Reglamento 2021
P0023342,"DIAZ PIZAN, MARIA ELENA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23342,,VII,2022-06-21,,Entre 60 a 69 años,Reglamento 2021
P0023339,"SOTOMAYOR MELO, DIEGO ALEJANDRO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23339,,IV,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0023336,"YAURI VIDALON, JOSE ELIAS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23336,,VII,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0023329,"CARRANZA ESTEBAN, RENZO FELIPE",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23329,,I,2022-11-14,,Entre 30 a 39 años,Reglamento 2021
P0023321,"CONTRERAS QUIÑONES, MARISOL",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23321,,VII,2022-09-19,,Entre 40 a 49 años,Reglamento 2021
P0023304,"CRUZ NEYRA, LIDIA LUZ",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23304,,VI,2022-11-25,,Entre 60 a 69 años,Reglamento 2021
P0023262,"GARCIA CANDELA, JOSE LUIS ENRIQUE",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23262,,VII,2022-12-29,,Entre 30 a 39 años,Reglamento 2021
P0023251,"SULCA JOTA, JUAN CARLOS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23251,,IV,2022-02-10,,Entre 30 a 39 años,Reglamento 2021
P0023249,"ALHUAY QUISPE, JOEL JONATHAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23249,,IV,2022-09-13,,Entre 20 a 29 años,Reglamento 2021
P0023242,"GONZALES VILCARROMERO, RICHARD PAUL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23242,,V,2022-08-17,,Entre 40 a 49 años,Reglamento 2021
P0023237,"ABANTO RODRIGUEZ, CARLOS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23237,,III,2022-06-08,,Entre 40 a 49 años,Reglamento 2021
P0023198,"MANTARI LAUREANO, JOSE LUIS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23198,,Investigador Distinguido,2022-11-25,,Entre 40 a 49 años,Reglamento 2021
P0023193,"YERA TOLEDO, RACIEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23193,,IV,2022-02-10,,Entre 30 a 39 años,Reglamento 2021
P0023168,"GUSUKUMA HIGA, MARCO ANTONIO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23168,,VII,2022-08-22,,Entre 40 a 49 años,Reglamento 2021
P0023147,"CASTRO ALAYO, EFRAIN MANUELITO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23147,,IV,2022-10-25,,Entre 40 a 49 años,Reglamento 2021
P0023132,"RABANAL ATALAYA, MELISSA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23132,,VII,2022-09-30,,Entre 40 a 49 años,Reglamento 2021
P0023125,"ALVARADO MAMANI, ULISES",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23125,,VII,2022-04-21,,Entre 40 a 49 años,Reglamento 2021
P0023104,"BETETA SALAS, MARISEL ROCIO",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23104,,VII,2022-08-05,,Entre 40 a 49 años,Reglamento 2021
P0023072,"APAZA PANCA, CYNTHIA MILAGROS",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23072,,V,2022-12-29,,Entre 30 a 39 años,Reglamento 2021
P0023070,"ESPEJO JOYA, ROSA AMELIA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23070,,VII,2022-09-13,,Entre 60 a 69 años,Reglamento 2021
P0023052,"JULCA GROVAS, GENARO FABIAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23052,,VII,2022-07-22,,Entre 50 a 59 años,Reglamento 2021
P0023009,"FERNANDEZ FERNANDEZ, FERNANDO ALBERTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=23009,,VI,2022-11-25,,Entre 60 a 69 años,Reglamento 2021
P0022998,"HUAMAN CARHUAS, LUIS HERMENEGILDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22998,,VII,2022-09-14,,Entre 50 a 59 años,Reglamento 2021
P0022982,"FRANCO QUINO, CESAR IVANOVISH",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22982,,IV,2022-09-30,,Entre 30 a 39 años,Reglamento 2021
P0022939,"MAQUERA AFARAY, JULIO CESAR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22939,,IV,2022-12-29,,Entre 30 a 39 años,Reglamento 2021
P0022924,"IPANAQUE CHERO, ROBERT",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22924,,VII,2022-02-10,,Entre 50 a 59 años,Reglamento 2021
P0022904,"VEGA JARA, LILIANA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22904,,VI,2022-10-18,,Entre 30 a 39 años,Reglamento 2021
P0022897,"ENRIQUEZ CANTO, YORDANIS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22897,,VI,2022-09-06,,Entre 40 a 49 años,Reglamento 2021
P0022896,"YUCRA CONDORI, HARRY RICARDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22896,,VII,2022-09-06,,Entre 30 a 39 años,Reglamento 2021
P0022825,"HUAMANI PALOMINO, RONNY GENARO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22825,,VI,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0022792,"BARAZORDA CCAHUANA, HARUNA LUZ",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22792,,III,2022-09-27,,Entre 30 a 39 años,Reglamento 2021
P0022789,"MORENO ZAPATA, MAXIMILIANO JESUS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22789,,III,2022-02-09,,Entre 40 a 49 años,Reglamento 2021
P0022705,"AGUIRRE QUISPE, WILFOR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22705,,V,2022-11-10,,Entre 30 a 39 años,Reglamento 2021
P0022686,"ITURBE ESPINOZA, PAUL ADRIAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22686,,VI,2022-11-14,,Entre 30 a 39 años,Reglamento 2021
P0022666,"BARRIENTOS GUTIERREZ, PEDRO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22666,,VI,2022-09-30,,Entre 60 a 69 años,Reglamento 2021
P0022644,"LIRA MAMANI, DAVID",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22644,,III,2022-08-17,,Entre 50 a 59 años,Reglamento 2021
P0022558,"ACOSTA BARRIGA, JOSHI ROSA MAGALI",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22558,,IV,2022-08-10,,Entre 40 a 49 años,Reglamento 2021
P0022550,"VASQUEZ OLIVERA, YANETH CHARITO",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22550,,VII,2022-12-06,,Entre 30 a 39 años,Reglamento 2021
P0022529,"TORREL PAJARES, TEOFILO SEVERINO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22529,,V,2022-10-28,,Entre 60 a 69 años,Reglamento 2021
P0022436,"ROJAS MONCADA, JUAN DE DIOS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22436,,VI,2022-10-28,,Entre 60 a 69 años,Reglamento 2021
P0022418,"VILCHEZ ROMAN, CARLOS MANUEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22418,,IV,2022-11-25,,Entre 50 a 59 años,Reglamento 2021
P0022417,"TELLO CELIS, FERNANDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22417,,V,2022-09-27,,Entre 50 a 59 años,Reglamento 2021
P0022379,"SOTOMAYOR PARIAN, RAQUEL MERCEDES",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22379,,VII,2022-10-18,,Entre 30 a 39 años,Reglamento 2021
P0022372,"CABELLO TORRES, RITA JAQUELINE",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22372,,V,2022-09-19,,Entre 50 a 59 años,Reglamento 2021
P0022337,"VELA MELENDEZ, LINDON",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22337,,V,2022-10-05,,Entre 50 a 59 años,Reglamento 2021
P0022280,"CHAUCA SAAVEDRA, MARIO BERNABE",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22280,,VI,2022-08-22,,Entre 50 a 59 años,Reglamento 2021
P0022278,"BERROCAL HUALLPA, ALFREDO MIGUEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22278,,VII,2022-08-05,,Entre 30 a 39 años,Reglamento 2021
P0022271,"GUTIERREZ LOLI, RENZO MARCELO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22271,,VII,2022-06-08,,Entre 30 a 39 años,Reglamento 2021
P0022224,"PALUMBO PINTO, GUIDO BENEDICTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22224,,VII,2022-09-06,,Entre 50 a 59 años,Reglamento 2021
P0022212,"MAMANI COAQUIRA, YONATAN",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22212,,VII,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0022165,"MEDINA CARDENAS, YURLEY CONSTANZA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22165,,VI,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0022157,"RICO BAUTISTA, DEWAR WILLMER",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22157,,IV,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0022150,"POZO SUCLUPE, EDWAR JOSE",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22150,,V,2022-09-13,,Entre 50 a 59 años,Reglamento 2021
P0022142,"AYALA OBREGON, ALAN FISCHER",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22142,,VI,2022-07-14,,Entre 30 a 39 años,Reglamento 2021
P0022135,"MENDOZA ORBEGOSO, ELDER MARINO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22135,,V,2022-05-18,,Entre 40 a 49 años,Reglamento 2021
P0022113,"FLORES LEDESMA, KATIA NINOZCA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22113,,VII,2022-02-10,,Entre 50 a 59 años,Reglamento 2021
P0022051,"RODRIGUEZ SOTO, JUAN CARLOS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=22051,,V,2022-09-30,,Entre 40 a 49 años,Reglamento 2021
P0021955,"CENTURION RODRIGUEZ, FRANCO LUIGI",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21955,,IV,2022-02-10,,Entre 30 a 39 años,Reglamento 2021
P0021944,"LUQUE OCHOA, EVELYN NAIDA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21944,,VII,2022-06-21,,Entre 40 a 49 años,Reglamento 2021
P0021941,"NUREÑA ARIAS, CESAR RODOLFO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21941,,V,2022-02-10,,Entre 40 a 49 años,Reglamento 2021
P0021877,"CORNEJO PACHERRES, HERNAN DANIEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21877,,VI,2022-09-30,,Entre 50 a 59 años,Reglamento 2021
P0021872,"ROQUE BORDA, CESAR AUGUSTO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21872,,IV,2022-12-13,,Entre 30 a 39 años,Reglamento 2021
P0021857,"HUAMANI MELENDEZ, VICTOR JUSTINIANO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21857,,VI,2022-05-17,,Entre 40 a 49 años,Reglamento 2021
P0021850,"ZARRIA ROMERO, JACQUELYNE YESENIA",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21850,,VI,2022-11-14,,Entre 30 a 39 años,Reglamento 2021
P0021820,"PEREZ GUERRA, URI HAROLD",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21820,,V,2022-12-22,,Entre 30 a 39 años,Reglamento 2021
P0021812,"TEJADA ESTEVES, ALVARO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21812,,IV,2022-12-13,,Entre 20 a 29 años,Reglamento 2021
P0021811,"TORRES HUACO, FRANK DENIS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21811,,IV,2022-12-29,,Entre 40 a 49 años,Reglamento 2021
P0021805,"YANYACHI ACO CARDENAS, DANIEL DOMINGO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21805,,VII,2022-12-13,,Entre 60 a 69 años,Reglamento 2021
P0021798,"NUNURA NUNURA, CESAR ROLANDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21798,,VII,2022-07-13,,Entre 40 a 49 años,Reglamento 2021
P0021777,"PONS CASELLAS, MARIA JESÚS",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21777,,Investigador Distinguido,2022-02-10,,Entre 40 a 49 años,Reglamento 2021
P0021770,"GUTIERREZ SEGURA, FLABIO ALFONSO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21770,,V,2022-02-10,,Entre 50 a 59 años,Reglamento 2021
P0021719,"HUARACHI OLIVERA, RONALD ELEAZAR",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21719,,VI,2022-10-28,,Entre 40 a 49 años,Reglamento 2021
P0021698,"MEZA SANCHEZ, GRACIELA ROCIO",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21698,,II,2022-06-08,,Entre 50 a 59 años,Reglamento 2021
P0021688,"FLORES AROCUTIPA, JAVIER PEDRO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21688,,V,2022-11-25,,Entre 60 a 69 años,Reglamento 2021
P0021678,"CARDENAS VILLANUEVA, LUDWING ANGEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21678,,VI,2022-05-18,,Entre 40 a 49 años,Reglamento 2021
P0021677,"LAZO PORRAS, MARIA DE LOS ANGELES",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21677,,Investigador Distinguido,2022-05-24,,Entre 30 a 39 años,Reglamento 2021
P0021673,"RODRIGUEZ ZEA, BERENICE",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21673,,VII,2022-08-17,,Entre 40 a 49 años,Reglamento 2021
P0021670,"CRUZ TARRILLO, JOSE JOEL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21670,,VII,2022-08-05,,Entre 30 a 39 años,Reglamento 2021
P0021661,"SANCHEZ JUSTO, LENY",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21661,,VI,2022-10-28,,Entre 30 a 39 años,Reglamento 2021
P0021586,"CARRASCO SOLIS, FERNANDO CARLOS",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21586,,VI,2022-05-17,,Entre 40 a 49 años,Reglamento 2021
P0021585,"MENDOZA DEL CARPIO, PAUL MAURICIO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21585,,VII,2022-11-14,,Entre 40 a 49 años,Reglamento 2021
P0021584,"TALAVERA MENDOZA, FABIOLA MARY",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21584,,V,2022-08-17,,Entre 40 a 49 años,Reglamento 2021
P0021582,"ZEGARRA MEJIA, MILAGROS ROCIO DEL CARMEN",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21582,,VII,2022-07-14,,Entre 40 a 49 años,Reglamento 2021
P0021581,"LOPEZ TORRES, BERNARDO",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21581,,II,2022-08-17,,Entre 30 a 39 años,Reglamento 2021
P0021568,"RODRIGUEZ MASHACURI, HICLER NAPOLEON",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21568,,VII,2022-02-10,,Entre 40 a 49 años,Reglamento 2021
P0021554,"FIGUEROA ILDEFONSO, ERICK GIANPIERRE",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21554,,VII,2022-05-24,,Entre 30 a 39 años,Reglamento 2021
P0021545,"TABOADA HERMOZA, ROSSI",Femenino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21545,,VII,2022-12-29,,Entre 30 a 39 años,Reglamento 2021
P0021530,"HERNANDEZ VASQUEZ, AKRAM ABDUL",Masculino,https://ctivitae.concytec.gob.pe/appDirectorioCTI/VerDatosInvestigador.do?id_investigador=21530,,Investigador Distinguido,2022-02-10,,Entre 40 a 49 años,Reglamento 2021
